version,sha256,path,os_name,os_arch
3.7.0,682a589ed6094fef12601fd4c5b527633c77cf1fa044b87925d0c4cfa15ca0c5,pythons/3.7.0/ubuntu-22-04-arm64-682a589ed6094fef12601fd4c5b527633c77cf1fa044b87925d0c4cfa15ca0c5.tar,ubuntu 22.04,arm64
3.7.0,b7d74e7a7696e03970534bde73a7b7971ec96660947aba29ccce1182589efab9,pythons/3.7.0/ubuntu-22-04-x86_64-b7d74e7a7696e03970534bde73a7b7971ec96660947aba29ccce1182589efab9.tar,ubuntu 22.04,x86_64
3.7.0,6001b4a799cea2e97ea12f6897204c99436d3d735a49ec2b7efab2a3e35d1848,pythons/3.7.0/ubuntu-24-04-arm64-6001b4a799cea2e97ea12f6897204c99436d3d735a49ec2b7efab2a3e35d1848.tar,ubuntu 24.04,arm64
3.7.0,890d8479307dfa21857cf9adc54e1f768e935851a38407ebeb6dae35fd8768bb,pythons/3.7.0/ubuntu-24-04-x86_64-890d8479307dfa21857cf9adc54e1f768e935851a38407ebeb6dae35fd8768bb.tar,ubuntu 24.04,x86_64
3.7.1,b14124a5d7cc42c1154db039ab54585e9a5cb9d501b8ced5306afbcb4ee5ccf2,pythons/3.7.1/ubuntu-22-04-arm64-b14124a5d7cc42c1154db039ab54585e9a5cb9d501b8ced5306afbcb4ee5ccf2.tar,ubuntu 22.04,arm64
3.7.1,ed823b875a3d635b8b54309dd6d5f461bc12ec951f2e299c7eb7614d1fb91eb0,pythons/3.7.1/ubuntu-22-04-x86_64-ed823b875a3d635b8b54309dd6d5f461bc12ec951f2e299c7eb7614d1fb91eb0.tar,ubuntu 22.04,x86_64
3.7.1,116422b4c14b9f1463f15ec4ee2aee8a14147738fd233763423364c29883e13c,pythons/3.7.1/ubuntu-24-04-arm64-116422b4c14b9f1463f15ec4ee2aee8a14147738fd233763423364c29883e13c.tar,ubuntu 24.04,arm64
3.7.1,aedf63ab8360048c07bd4fde046be398107449fbdcf3221c36efa601ba85526b,pythons/3.7.1/ubuntu-24-04-x86_64-aedf63ab8360048c07bd4fde046be398107449fbdcf3221c36efa601ba85526b.tar,ubuntu 24.04,x86_64
3.7.2,d46cc128ab6775ac7b7344d966ccf2ca3f267a4a7b4b21cd3d6b9244d70fc3a3,pythons/3.7.2/ubuntu-22-04-arm64-d46cc128ab6775ac7b7344d966ccf2ca3f267a4a7b4b21cd3d6b9244d70fc3a3.tar,ubuntu 22.04,arm64
3.7.2,616da88ce04e501baf5787aba9b334b78c80dcd28bcfadb9dfabc1d430553a34,pythons/3.7.2/ubuntu-22-04-x86_64-616da88ce04e501baf5787aba9b334b78c80dcd28bcfadb9dfabc1d430553a34.tar,ubuntu 22.04,x86_64
3.7.2,9fb24977ffe96c448adb6853910984e16a4d26152b4e0158c78db61e540de3e9,pythons/3.7.2/ubuntu-24-04-arm64-9fb24977ffe96c448adb6853910984e16a4d26152b4e0158c78db61e540de3e9.tar,ubuntu 24.04,arm64
